Make,Model,Condition,Price,Year,Body_Type,Fuel_Type,Enginer_Size,Fuel_Consumption,Acceleration,GearBox,DriveTrain,CO2_Emissions,Doors,Seats,Annual_Tax
ABARTH,PUNTO EVO,Used,10490,2010,Hatchback,Petrol,1.4L,47.1 mpg,7.9,Manual,,142,3 doors,5 seats,155
AUDI,TTS,Used,35495,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,140
ABARTH,PUNTO EVO,Used,10000,2010,Hatchback,Petrol,1.4L,46.3 mpg,,Manual,,142,3 doors,5 seats,155
AUDI,TTS,Nearly New,38450,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,140
AUDI,TTS,Nearly New,37995,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,140
AUDI,TTS,Nearly New,36881,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,140
ABARTH,PUNTO EVO,Used,10000,2010,Hatchback,Petrol,1.4L,46.3 mpg,,Manual,,142,3 doors,5 seats,155
AUDI,TTS,Used,18995,2008,Coupe,Petrol,2.0L,36.7 mpg,5.3,Automatic,quattro,179,3 doors,4 seats,250
AUDI,TTS,Used,27499,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195
AUDI,TTS,Used,18800,2008,Convertible,Petrol,2.0L,34.9 mpg,5.7,Manual,quattro,189,2 doors,2 seats,
AUDI,TTS,Used,22360,2014,Coupe,Petrol,2.0L,38.7 mpg,4.9,Manual,quattro,168,2 doors,4 seats,230
AUDI,TTS,Used,18950,2008,Coupe,Petrol,2.0L,36.7 mpg,5.3,Automatic,quattro,179,3 doors,4 seats,250
AUDI,TTS,Used,18600,2008,Coupe,Petrol,2.0L,35.8 mpg,5.5,Manual,quattro,184,3 doors,4 seats,250
AUDI,TTS,Used,18495,2008,Convertible,Petrol,2.0L,35.8 mpg,5.5,Automatic,quattro,184,2 doors,2 seats,250
AUDI,TTS,Used,28800,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195
AUDI,TTS,Used,27499,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195
AUDI,TTS,Used,29490,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195
AUDI,TTS,Used,29000,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195
AUDI,TTS,Used,28990,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195
AUDI,TTS,Used,28980,2014,Coupe,Petrol,2.0L,38.7 mpg,4.9,Manual,quattro,168,2 doors,4 seats,230
AUDI,TTS,Used,28490,2014,Convertible,Petrol,2.0L,39.8 mpg,4.9,Automatic,quattro,163,2 doors,4 seats,140
AUDI,TTS,Used,28290,2014,Coupe,Petrol,2.0L,38.7 mpg,4.9,Manual,quattro,168,2 doors,4 seats,
AUDI,TTS,Used,28195,2014,Coupe,Petrol,2.0L,38.7 mpg,4.9,Manual,quattro,168,2 doors,4 seats,230
AUDI,TTS,Used,28102,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195
AUDI,TTS,Used,24940,2015,Coupe,Petrol,2.0L,,,Manual,,168,2 doors,4 seats,230
AUDI,TTS,Used,28380,2014,Coupe,Petrol,2.0L,38.7 mpg,4.9,Manual,quattro,168,2 doors,4 seats,230
AUDI,TTS,Used,27499,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195
AUDI,TTS,Used,24495,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,
AUDI,TTS,Used,23950,2015,Coupe,Petrol,2.0L,,,Manual,,,2 doors,,
AUDI,TTS,Used,24500,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195
AUDI,TTS,Used,24194,2014,Convertible,Petrol,2.0L,38.7 mpg,5.2,Manual,quattro,169,2 doors,2 seats,230
AUDI,TTS,Used,23450,2014,Coupe,Petrol,2.0L,39.2 mpg,4.9,Manual,quattro,168,3 doors,4 seats,230
AUDI,TTS,Used,22950,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195
AUDI,TTS,Used,21989,2014,Convertible,Petrol,2.0L,38.7 mpg,5.2,Manual,quattro,169,2 doors,2 seats,195
AUDI,TTS,Used,20995,2014,Convertible,Petrol,2.0L,40.9 mpg,4.9,Automatic,quattro,159,2 doors,2 seats,195
AUDI,TTS,Used,26995,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195
AUDI,TTS,Used,25000,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195
AUDI,TTS,Used,24500,2014,Convertible,Petrol,2.0L,38.7 mpg,5.2,Manual,quattro,169,2 doors,2 seats,230
