Make,Model,Condition,Price,Year,Body_Type,Fuel_Type,Enginer_Size,Fuel_Consumption,Acceleration,GearBox,DriveTrain,CO2_Emissions,Doors,Seats,Annual_Tax,Ad_Link
AC,COBRA,New,89950,,Convertible,Petrol,,,,Manual,,,2 doors,,,https://www.autotrader.co.uk/classified/advert/201807128367206
ARIEL,NOMAD,Nearly New,65990,2018,Coupe,Petrol,2.4L,,,Manual,,,,2 seats,140,https://www.autotrader.co.uk/classified/advert/201902275350071
ASTON MARTIN,VULCAN,Used,2400000,2016,Coupe,Petrol,7.0L,,,Manual,,,2 doors,,,https://www.autotrader.co.uk/classified/advert/201804306057711
AUSTIN,MINI,Used,15995,1989,Saloon,Petrol,1.0L,,,Manual,,,,,,https://www.autotrader.co.uk/classified/advert/201901083756048
BAC,MONO,Used,179949,2017,Convertible,Petrol,2.5L,,,Manual,,0,,1 seats,140,https://www.autotrader.co.uk/classified/advert/201809100347045
BENTLEY,TURBO RT,Used,27990,1997,Saloon,Petrol,6.8L,,,Automatic,,458,4 doors,5 seats,,https://www.autotrader.co.uk/classified/advert/201810131473148
AUSTIN,MINI,Used,20000,1969,Saloon,Petrol,1.3L,,,Manual,,,2 doors,,,https://www.autotrader.co.uk/classified/advert/201810251831453
BENTLEY,TURBO RT,Used,28950,1997,Saloon,Petrol,6.8L,,,Automatic,,458,4 doors,5 seats,,https://www.autotrader.co.uk/classified/advert/201806237766113
BMW,Z8,Used,170000,2000,Convertible,Petrol,4.9L,19.5 mpg,4.7,Manual,,358,2 doors,2 seats,315,https://www.autotrader.co.uk/classified/advert/201811072220809
BMW,Z8,Used,167850,2000,Convertible,Petrol,4.9L,19.5 mpg,4.7,Manual,,358,2 doors,2 seats,,https://www.autotrader.co.uk/classified/advert/201901163977166
AUDI,TTS,Used,27499,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195,https://www.autotrader.co.uk/classified/advert/201810081309808
AUDI,TTS,Used,32995,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,140,https://www.autotrader.co.uk/classified/advert/201810161555963
AUDI,TTS,Used,32489,2014,Convertible,Petrol,2.0L,39.8 mpg,4.9,Automatic,quattro,163,2 doors,4 seats,140,https://www.autotrader.co.uk/classified/advert/201812173317102
AUDI,TTS,Used,31500,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195,https://www.autotrader.co.uk/classified/advert/201902215149560
AUDI,TTS,Used,34999,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,140,https://www.autotrader.co.uk/classified/advert/201901184063102
AUDI,TTS,Used,31399,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,140,https://www.autotrader.co.uk/classified/advert/201901284367346
AUDI,TTS,Used,30990,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195,https://www.autotrader.co.uk/classified/advert/201903065619205
AUDI,TTS,Used,34995,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,140,https://www.autotrader.co.uk/classified/advert/201812073081249
AUDI,TTS,Nearly New,34550,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,140,https://www.autotrader.co.uk/classified/advert/201812103146066
AUDI,TTS,Used,30980,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,140,https://www.autotrader.co.uk/classified/advert/201901304424332
AUDI,TTS,Used,30980,2014,Convertible,Petrol,2.0L,37.7 mpg,5.2,Manual,quattro,173,2 doors,4 seats,140,https://www.autotrader.co.uk/classified/advert/201902185046681
AUDI,TTS,Used,32490,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,140,https://www.autotrader.co.uk/classified/advert/201902034570272
AUDI,TTS,Used,30000,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195,https://www.autotrader.co.uk/classified/advert/201812042992406
AUDI,TTS,Nearly New,38450,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,140,https://www.autotrader.co.uk/classified/advert/201902044577876
AUDI,TTS,Nearly New,37995,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,140,https://www.autotrader.co.uk/classified/advert/201811072223313
BENTLEY,TURBO R,Used,43940,1985,Saloon,Petrol,6.8L,,7.2,Automatic,,,4 doors,5 seats,,https://www.autotrader.co.uk/classified/advert/201803074349131
