Make,Model,Year,Count,Page_Link
Abarth,500,2016,73,https://www.cargurus.co.uk/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePageModel&newSearchFromOverviewPage=true&inventorySearchWidgetType=AUTO&entitySelectingHelper.selectedEntity=c38839&entitySelectingHelper.selectedEntity2=c42196&zip=WC2N+5DU&distance=660&searchChanged=true&modelChanged=false&filtersModified=true
Abarth,500,2017,9,https://www.cargurus.co.uk/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePageModel&newSearchFromOverviewPage=true&inventorySearchWidgetType=AUTO&entitySelectingHelper.selectedEntity=c38839&entitySelectingHelper.selectedEntity2=c42196&zip=WC2N+5DU&distance=660&searchChanged=true&modelChanged=false&filtersModified=true
BMW,X2,2018,94,https://www.cargurus.co.uk/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePageModel&newSearchFromOverviewPage=true&inventorySearchWidgetType=AUTO&entitySelectingHelper.selectedEntity=c49082&entitySelectingHelper.selectedEntity2=c51097&zip=WC2N+5DU&distance=660&searchChanged=true&modelChanged=false&filtersModified=true
BMW,X2,2019,9,https://www.cargurus.co.uk/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePageModel&newSearchFromOverviewPage=true&inventorySearchWidgetType=AUTO&entitySelectingHelper.selectedEntity=c49082&entitySelectingHelper.selectedEntity2=c51097&zip=WC2N+5DU&distance=660&searchChanged=true&modelChanged=false&filtersModified=true
BMW,X4,2018,67,https://www.cargurus.co.uk/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePageModel&newSearchFromOverviewPage=true&inventorySearchWidgetType=AUTO&entitySelectingHelper.selectedEntity=c41695&entitySelectingHelper.selectedEntity2=c42552&zip=WC2N+5DU&distance=660&searchChanged=true&modelChanged=false&filtersModified=true
BMW,X4,2017,11,https://www.cargurus.co.uk/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePageModel&newSearchFromOverviewPage=true&inventorySearchWidgetType=AUTO&entitySelectingHelper.selectedEntity=c41695&entitySelectingHelper.selectedEntity2=c42552&zip=WC2N+5DU&distance=660&searchChanged=true&modelChanged=false&filtersModified=true
BMW,X4,2016,32,https://www.cargurus.co.uk/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePageModel&newSearchFromOverviewPage=true&inventorySearchWidgetType=AUTO&entitySelectingHelper.selectedEntity=c37798&entitySelectingHelper.selectedEntity2=c41695&zip=WC2N+5DU&distance=660&searchChanged=true&modelChanged=false&filtersModified=true
BMW,X4,2017,11,https://www.cargurus.co.uk/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePageModel&newSearchFromOverviewPage=true&inventorySearchWidgetType=AUTO&entitySelectingHelper.selectedEntity=c37798&entitySelectingHelper.selectedEntity2=c41695&zip=WC2N+5DU&distance=660&searchChanged=true&modelChanged=false&filtersModified=true
BMW,X4,2015,43,https://www.cargurus.co.uk/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePageModel&newSearchFromOverviewPage=true&inventorySearchWidgetType=AUTO&entitySelectingHelper.selectedEntity=c32574&entitySelectingHelper.selectedEntity2=c37798&zip=WC2N+5DU&distance=660&searchChanged=true&modelChanged=false&filtersModified=true
BMW,X4,2016,32,https://www.cargurus.co.uk/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePageModel&newSearchFromOverviewPage=true&inventorySearchWidgetType=AUTO&entitySelectingHelper.selectedEntity=c32574&entitySelectingHelper.selectedEntity2=c37798&zip=WC2N+5DU&distance=660&searchChanged=true&modelChanged=false&filtersModified=true
BMW,X4,2015,43,https://www.cargurus.co.uk/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePageModel&newSearchFromOverviewPage=true&inventorySearchWidgetType=AUTO&entitySelectingHelper.selectedEntity=c25999&entitySelectingHelper.selectedEntity2=c32574&zip=WC2N+5DU&distance=660&searchChanged=true&modelChanged=false&filtersModified=true
BMW,X4,2014,11,https://www.cargurus.co.uk/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePageModel&newSearchFromOverviewPage=true&inventorySearchWidgetType=AUTO&entitySelectingHelper.selectedEntity=c25999&entitySelectingHelper.selectedEntity2=c32574&zip=WC2N+5DU&distance=660&searchChanged=true&modelChanged=false&filtersModified=true
BMW,i8,2018,22,https://www.cargurus.co.uk/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePageModel&newSearchFromOverviewPage=true&inventorySearchWidgetType=AUTO&entitySelectingHelper.selectedEntity=c41744&entitySelectingHelper.selectedEntity2=c42559&zip=WC2N+5DU&distance=660&searchChanged=true&modelChanged=false&filtersModified=true
BMW,i8,2017,7,https://www.cargurus.co.uk/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePageModel&newSearchFromOverviewPage=true&inventorySearchWidgetType=AUTO&entitySelectingHelper.selectedEntity=c41744&entitySelectingHelper.selectedEntity2=c42559&zip=WC2N+5DU&distance=660&searchChanged=true&modelChanged=false&filtersModified=true
